key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
MATH|single_choice|medium,481,"generic_concept:371, final_scalar_value:48, stack_state_trace:22, set_order_unique:9, sorting_trace:9, complexity_bound_reasoning:8, binary_search_boundary:6, loop_iteration_count:3, queue_state_trace:3, dp_state_transition:1","inferred-generic_concept:371, inferred-final_scalar_value:48, inferred-stack_state_trace:22, inferred-set_order_unique:9, inferred-sorting_trace:9, inferred-complexity_bound_reasoning:8, inferred-binary_search_boundary:6, inferred-loop_iteration_count:3, inferred-queue_state_trace:3, inferred-dp_state_transition:1","short_trace:313, final_value:131, concept_choice:18, complexity:13, loop_count:6","tree:38, vector:26, stack:22, graph:10, set:9, queue:4, priority_queue:1"
DS|single_choice|easy,413,"generic_concept:145, stack_state_trace:108, queue_state_trace:58, priority_queue_order:27, set_order_unique:22, sorting_trace:19, final_scalar_value:12, complexity_bound_reasoning:10, bfs_adjacency_queue:5, binary_search_boundary:5","inferred-generic_concept:145, inferred-stack_state_trace:108, inferred-queue_state_trace:58, inferred-priority_queue_order:27, inferred-set_order_unique:22, inferred-sorting_trace:19, inferred-final_scalar_value:12, inferred-complexity_bound_reasoning:10, inferred-bfs_adjacency_queue:5, inferred-binary_search_boundary:5","short_trace:258, final_value:59, loop_count:43, concept_choice:35, complexity:18","stack:110, tree:83, queue:73, vector:54, priority_queue:39, set:21, union_find:19, graph:17, deque:1"
ALG|reading_program|medium,398,"complexity_bound_reasoning:84, generic_concept:64, loop_iteration_count:63, final_scalar_value:60, sorting_trace:50, prefix_sum_query:40, dp_state_transition:17, stack_state_trace:13, binary_search_boundary:5, difference_array_update:1","inferred-complexity_bound_reasoning:84, inferred-generic_concept:64, inferred-loop_iteration_count:63, inferred-final_scalar_value:60, inferred-sorting_trace:50, inferred-prefix_sum_query:40, inferred-dp_state_transition:17, inferred-stack_state_trace:13, inferred-binary_search_boundary:5, inferred-difference_array_update:1",program_trace:398,"vector:276, stack:13, graph:2, priority_queue:1, queue:1, union_find:1"
CPP|reading_program|medium,379,"generic_concept:117, final_scalar_value:108, loop_iteration_count:85, complexity_bound_reasoning:31, sorting_trace:23, stack_state_trace:10, binary_search_boundary:2, queue_state_trace:2, difference_array_update:1","inferred-generic_concept:117, inferred-final_scalar_value:108, inferred-loop_iteration_count:85, inferred-complexity_bound_reasoning:31, inferred-sorting_trace:23, inferred-stack_state_trace:10, inferred-binary_search_boundary:2, inferred-queue_state_trace:2, inferred-difference_array_update:1",program_trace:379,"vector:142, stack:10, queue:3, graph:2"
ALG|reading_program|hard,349,"sorting_trace:64, complexity_bound_reasoning:56, prefix_sum_query:48, dp_state_transition:38, generic_concept:37, final_scalar_value:34, loop_iteration_count:22, stack_state_trace:21, binary_search_boundary:15, priority_queue_order:5","inferred-sorting_trace:64, inferred-complexity_bound_reasoning:56, inferred-prefix_sum_query:48, inferred-dp_state_transition:38, inferred-generic_concept:37, inferred-final_scalar_value:34, inferred-loop_iteration_count:22, inferred-stack_state_trace:21, inferred-binary_search_boundary:15, inferred-priority_queue_order:5",program_trace:349,"vector:299, stack:23, queue:10, graph:7, priority_queue:6, map:2, tree:2, union_find:2, set:1"
MATH|single_choice|hard,337,"generic_concept:239, final_scalar_value:36, stack_state_trace:14, sorting_trace:13, complexity_bound_reasoning:11, set_order_unique:8, binary_search_boundary:4, queue_state_trace:4, loop_iteration_count:3, priority_queue_order:2","inferred-generic_concept:239, inferred-final_scalar_value:36, inferred-stack_state_trace:14, inferred-sorting_trace:13, inferred-complexity_bound_reasoning:11, inferred-set_order_unique:8, inferred-binary_search_boundary:4, inferred-queue_state_trace:4, inferred-loop_iteration_count:3, inferred-priority_queue_order:2","short_trace:212, final_value:96, complexity:16, concept_choice:8, loop_count:5","tree:27, vector:21, graph:16, stack:14, set:8, queue:6, priority_queue:2, union_find:1"
CS|single_choice|easy,274,"generic_concept:258, stack_state_trace:11, final_scalar_value:3, sorting_trace:2","inferred-generic_concept:258, inferred-stack_state_trace:11, inferred-final_scalar_value:3, inferred-sorting_trace:2","short_trace:160, final_value:58, concept_choice:53, complexity:3","stack:11, tree:9, vector:9, queue:8, graph:7"
CS|single_choice|medium,266,"generic_concept:203, stack_state_trace:27, sorting_trace:12, complexity_bound_reasoning:8, queue_state_trace:7, binary_search_boundary:4, final_scalar_value:3, bfs_adjacency_queue:1, loop_iteration_count:1","inferred-generic_concept:203, inferred-stack_state_trace:27, inferred-sorting_trace:12, inferred-complexity_bound_reasoning:8, inferred-queue_state_trace:7, inferred-binary_search_boundary:4, inferred-final_scalar_value:3, inferred-bfs_adjacency_queue:1, inferred-loop_iteration_count:1","short_trace:133, final_value:74, concept_choice:30, complexity:21, loop_count:8","stack:28, tree:19, vector:18, queue:16, priority_queue:5, graph:1"
DS|reading_program|medium,266,"stack_state_trace:225, priority_queue_order:18, queue_state_trace:16, complexity_bound_reasoning:2, generic_concept:2, sorting_trace:2, final_scalar_value:1","inferred-stack_state_trace:225, inferred-priority_queue_order:18, inferred-queue_state_trace:16, inferred-complexity_bound_reasoning:2, inferred-generic_concept:2, inferred-sorting_trace:2, inferred-final_scalar_value:1",program_trace:266,"stack:226, queue:73, vector:64, priority_queue:19, deque:6, union_find:5, set:1"
MATH|single_choice|easy,244,"generic_concept:204, final_scalar_value:24, sorting_trace:5, stack_state_trace:4, binary_search_boundary:3, prefix_sum_query:2, queue_state_trace:1, set_order_unique:1","inferred-generic_concept:204, inferred-final_scalar_value:24, inferred-sorting_trace:5, inferred-stack_state_trace:4, inferred-binary_search_boundary:3, inferred-prefix_sum_query:2, inferred-queue_state_trace:1, inferred-set_order_unique:1","short_trace:169, final_value:68, concept_choice:3, complexity:2, loop_count:2","tree:9, vector:7, stack:4, graph:2, queue:1, set:1"
CPP|reading_program|easy,236,"generic_concept:106, final_scalar_value:71, loop_iteration_count:39, complexity_bound_reasoning:17, prefix_sum_query:1, sorting_trace:1, stack_state_trace:1","inferred-generic_concept:106, inferred-final_scalar_value:71, inferred-loop_iteration_count:39, inferred-complexity_bound_reasoning:17, inferred-prefix_sum_query:1, inferred-sorting_trace:1, inferred-stack_state_trace:1",program_trace:236,"vector:47, graph:2, stack:1, union_find:1"
BAS|single_choice|hard,220,"generic_concept:181, stack_state_trace:15, final_scalar_value:9, complexity_bound_reasoning:6, queue_state_trace:4, sorting_trace:3, bfs_adjacency_queue:1, binary_search_boundary:1","inferred-generic_concept:181, inferred-stack_state_trace:15, inferred-final_scalar_value:9, inferred-complexity_bound_reasoning:6, inferred-queue_state_trace:4, inferred-sorting_trace:3, inferred-bfs_adjacency_queue:1, inferred-binary_search_boundary:1","short_trace:105, final_value:75, concept_choice:31, complexity:8, loop_count:1","stack:15, tree:9, vector:8, queue:5, graph:3, priority_queue:2, set:1"
ALG|completion_program|hard,212,"blank_completion:93, sorting_trace:26, prefix_sum_query:22, binary_search_boundary:21, dp_state_transition:17, bfs_adjacency_queue:8, complexity_bound_reasoning:6, stack_state_trace:6, map_count_lookup:5, queue_state_trace:4","inferred-blank_completion:93, inferred-sorting_trace:26, inferred-prefix_sum_query:22, inferred-binary_search_boundary:21, inferred-dp_state_transition:17, inferred-bfs_adjacency_queue:8, inferred-complexity_bound_reasoning:6, inferred-stack_state_trace:6, inferred-map_count_lookup:5, inferred-queue_state_trace:4",blank_completion:212,"vector:159, graph:23, queue:10, union_find:9, tree:7, stack:6, map:5, priority_queue:3, set:3, deque:2"
DS|reading_program|hard,205,"stack_state_trace:156, queue_state_trace:23, priority_queue_order:19, deque_two_end_trace:6, loop_iteration_count:1","inferred-stack_state_trace:156, inferred-queue_state_trace:23, inferred-priority_queue_order:19, inferred-deque_two_end_trace:6, inferred-loop_iteration_count:1",program_trace:205,"stack:158, queue:84, vector:44, deque:26, priority_queue:19, union_find:5, set:1"
ALG|completion_program|medium,180,"blank_completion:106, prefix_sum_query:30, sorting_trace:17, binary_search_boundary:13, dp_state_transition:7, stack_state_trace:4, complexity_bound_reasoning:1, map_count_lookup:1, queue_state_trace:1","inferred-blank_completion:106, inferred-prefix_sum_query:30, inferred-sorting_trace:17, inferred-binary_search_boundary:13, inferred-dp_state_transition:7, inferred-stack_state_trace:4, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-queue_state_trace:1",blank_completion:180,"vector:101, stack:4, graph:3, deque:1, map:1, queue:1, union_find:1"
CPP|completion_program|medium,158,"blank_completion:155, sorting_trace:2, stack_state_trace:1","inferred-blank_completion:155, inferred-sorting_trace:2, inferred-stack_state_trace:1",blank_completion:158,"vector:22, graph:1, stack:1"
DS|completion_program|hard,157,"stack_state_trace:93, queue_state_trace:41, blank_completion:9, priority_queue_order:6, bfs_adjacency_queue:2, sorting_trace:2, complexity_bound_reasoning:1, map_count_lookup:1, prefix_sum_query:1, set_order_unique:1","inferred-stack_state_trace:93, inferred-queue_state_trace:41, inferred-blank_completion:9, inferred-priority_queue_order:6, inferred-bfs_adjacency_queue:2, inferred-sorting_trace:2, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-prefix_sum_query:1, inferred-set_order_unique:1",blank_completion:157,"stack:93, vector:61, queue:57, tree:11, deque:9, union_find:8, priority_queue:7, graph:3, map:1, set:1"
DS|completion_program|medium,151,"stack_state_trace:108, queue_state_trace:32, blank_completion:4, sorting_trace:3, priority_queue_order:2, bfs_adjacency_queue:1, binary_search_boundary:1","inferred-stack_state_trace:108, inferred-queue_state_trace:32, inferred-blank_completion:4, inferred-sorting_trace:3, inferred-priority_queue_order:2, inferred-bfs_adjacency_queue:1, inferred-binary_search_boundary:1",blank_completion:151,"stack:108, queue:45, vector:44, tree:4, deque:3, graph:2, priority_queue:2, union_find:2"
CPP|reading_program|hard,146,"final_scalar_value:41, generic_concept:32, sorting_trace:28, loop_iteration_count:26, stack_state_trace:10, complexity_bound_reasoning:5, binary_search_boundary:1, dp_state_transition:1, queue_state_trace:1, set_order_unique:1","inferred-final_scalar_value:41, inferred-generic_concept:32, inferred-sorting_trace:28, inferred-loop_iteration_count:26, inferred-stack_state_trace:10, inferred-complexity_bound_reasoning:5, inferred-binary_search_boundary:1, inferred-dp_state_transition:1, inferred-queue_state_trace:1, inferred-set_order_unique:1",program_trace:146,"vector:101, stack:10, union_find:7, queue:2, graph:1, priority_queue:1"
ALG|reading_program|easy,126,"generic_concept:30, loop_iteration_count:28, final_scalar_value:23, complexity_bound_reasoning:20, prefix_sum_query:12, sorting_trace:10, dp_state_transition:1, set_order_unique:1, stack_state_trace:1","inferred-generic_concept:30, inferred-loop_iteration_count:28, inferred-final_scalar_value:23, inferred-complexity_bound_reasoning:20, inferred-prefix_sum_query:12, inferred-sorting_trace:10, inferred-dp_state_transition:1, inferred-set_order_unique:1, inferred-stack_state_trace:1",program_trace:126,"vector:60, graph:6, priority_queue:1, stack:1"
CS|single_choice|hard,83,"generic_concept:62, sorting_trace:8, stack_state_trace:5, bfs_adjacency_queue:2, binary_search_boundary:2, complexity_bound_reasoning:2, final_scalar_value:1, queue_state_trace:1","inferred-generic_concept:62, inferred-sorting_trace:8, inferred-stack_state_trace:5, inferred-bfs_adjacency_queue:2, inferred-binary_search_boundary:2, inferred-complexity_bound_reasoning:2, inferred-final_scalar_value:1, inferred-queue_state_trace:1","short_trace:40, final_value:26, concept_choice:9, complexity:8","tree:9, graph:7, priority_queue:6, stack:6, vector:5, queue:3"
CPP|completion_program|easy,77,"blank_completion:76, sorting_trace:1","inferred-blank_completion:76, inferred-sorting_trace:1",blank_completion:77,"vector:2, graph:1"
DS|reading_program|easy,71,"stack_state_trace:57, queue_state_trace:9, generic_concept:3, map_count_lookup:1, priority_queue_order:1","inferred-stack_state_trace:57, inferred-queue_state_trace:9, inferred-generic_concept:3, inferred-map_count_lookup:1, inferred-priority_queue_order:1",program_trace:71,"stack:57, queue:16, vector:7, map:1, priority_queue:1"
CPP|completion_program|hard,69,"blank_completion:56, stack_state_trace:7, dp_state_transition:2, binary_search_boundary:1, complexity_bound_reasoning:1, map_count_lookup:1, sorting_trace:1","inferred-blank_completion:56, inferred-stack_state_trace:7, inferred-dp_state_transition:2, inferred-binary_search_boundary:1, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-sorting_trace:1",blank_completion:69,"vector:18, stack:7, graph:3, map:1, union_find:1"
MATH|completion_program|hard,62,"blank_completion:57, complexity_bound_reasoning:2, dp_state_transition:2, map_count_lookup:1","inferred-blank_completion:57, inferred-complexity_bound_reasoning:2, inferred-dp_state_transition:2, inferred-map_count_lookup:1",blank_completion:62,"vector:11, map:1, union_find:1"
MATH|completion_program|medium,57,"blank_completion:56, prefix_sum_query:1","inferred-blank_completion:56, inferred-prefix_sum_query:1",blank_completion:57,vector:5
ALG|completion_program|easy,54,"blank_completion:41, sorting_trace:5, prefix_sum_query:4, binary_search_boundary:3, stack_state_trace:1","inferred-blank_completion:41, inferred-sorting_trace:5, inferred-prefix_sum_query:4, inferred-binary_search_boundary:3, inferred-stack_state_trace:1",blank_completion:54,"vector:25, stack:1"
DS|completion_program|easy,41,"stack_state_trace:28, queue_state_trace:11, bfs_adjacency_queue:1, blank_completion:1","inferred-stack_state_trace:28, inferred-queue_state_trace:11, inferred-bfs_adjacency_queue:1, inferred-blank_completion:1",blank_completion:41,"stack:28, queue:12, vector:12, union_find:2, graph:1, set:1"
MATH|completion_program|easy,9,blank_completion:9,inferred-blank_completion:9,blank_completion:9,
