key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
GESP-7|single_choice|hard|DS,212,"generic_concept:56, stack_state_trace:48, queue_state_trace:35, set_order_unique:27, priority_queue_order:22, final_scalar_value:12, complexity_bound_reasoning:4, sorting_trace:4, binary_search_boundary:2, bfs_adjacency_queue:1","inferred-generic_concept:56, inferred-stack_state_trace:48, inferred-queue_state_trace:35, inferred-set_order_unique:27, inferred-priority_queue_order:22, inferred-final_scalar_value:12, inferred-complexity_bound_reasoning:4, inferred-sorting_trace:4, inferred-binary_search_boundary:2, inferred-bfs_adjacency_queue:1","short_trace:139, final_value:42, loop_count:22, complexity:6, concept_choice:3","stack:48, queue:35, priority_queue:32, tree:30, vector:29, set:25, union_find:21, graph:6, deque:1"
GESP-6|single_choice|medium|DS,209,"generic_concept:93, stack_state_trace:49, queue_state_trace:34, sorting_trace:10, bfs_adjacency_queue:5, complexity_bound_reasoning:5, binary_search_boundary:4, priority_queue_order:4, final_scalar_value:3, loop_iteration_count:2","inferred-generic_concept:93, inferred-stack_state_trace:49, inferred-queue_state_trace:34, inferred-sorting_trace:10, inferred-bfs_adjacency_queue:5, inferred-complexity_bound_reasoning:5, inferred-binary_search_boundary:4, inferred-priority_queue_order:4, inferred-final_scalar_value:3, inferred-loop_iteration_count:2","short_trace:131, final_value:33, loop_count:25, concept_choice:14, complexity:6","tree:57, stack:49, vector:40, queue:36, graph:10, priority_queue:10"
GESP-5|single_choice|medium|ALG,201,"generic_concept:97, sorting_trace:40, binary_search_boundary:24, stack_state_trace:21, complexity_bound_reasoning:9, queue_state_trace:5, final_scalar_value:3, bfs_adjacency_queue:1, loop_iteration_count:1","inferred-generic_concept:97, inferred-sorting_trace:40, inferred-binary_search_boundary:24, inferred-stack_state_trace:21, inferred-complexity_bound_reasoning:9, inferred-queue_state_trace:5, inferred-final_scalar_value:3, inferred-bfs_adjacency_queue:1, inferred-loop_iteration_count:1","short_trace:105, final_value:47, complexity:31, loop_count:14, concept_choice:4","vector:54, stack:21, tree:14, graph:7, priority_queue:6, queue:5"
GESP-8|single_choice|medium|MATH,200,"generic_concept:162, stack_state_trace:12, final_scalar_value:6, sorting_trace:6, complexity_bound_reasoning:4, set_order_unique:4, binary_search_boundary:2, loop_iteration_count:2, dp_state_transition:1, queue_state_trace:1","inferred-generic_concept:162, inferred-stack_state_trace:12, inferred-final_scalar_value:6, inferred-sorting_trace:6, inferred-complexity_bound_reasoning:4, inferred-set_order_unique:4, inferred-binary_search_boundary:2, inferred-loop_iteration_count:2, inferred-dp_state_transition:1, inferred-queue_state_trace:1","short_trace:145, final_value:37, complexity:7, concept_choice:7, loop_count:4","tree:22, vector:16, stack:12, graph:5, set:4, queue:2"
GESP-2|single_choice|easy|BAS,194,"generic_concept:181, final_scalar_value:5, stack_state_trace:4, loop_iteration_count:2, queue_state_trace:1, sorting_trace:1","inferred-generic_concept:181, inferred-final_scalar_value:5, inferred-stack_state_trace:4, inferred-loop_iteration_count:2, inferred-queue_state_trace:1, inferred-sorting_trace:1","short_trace:118, final_value:44, concept_choice:27, loop_count:3, complexity:2","vector:5, stack:4, graph:3, queue:1, tree:1"
GESP-1|single_choice|medium|BAS,190,"generic_concept:165, stack_state_trace:14, final_scalar_value:6, binary_search_boundary:3, sorting_trace:2","inferred-generic_concept:165, inferred-stack_state_trace:14, inferred-final_scalar_value:6, inferred-binary_search_boundary:3, inferred-sorting_trace:2","short_trace:116, final_value:45, concept_choice:24, complexity:3, loop_count:2","stack:14, vector:13, graph:4, tree:4, queue:3"
GESP-8|single_choice|medium|ALG,187,"generic_concept:83, sorting_trace:40, binary_search_boundary:26, stack_state_trace:18, complexity_bound_reasoning:8, bfs_adjacency_queue:3, final_scalar_value:3, dp_state_transition:2, loop_iteration_count:2, priority_queue_order:1","inferred-generic_concept:83, inferred-sorting_trace:40, inferred-binary_search_boundary:26, inferred-stack_state_trace:18, inferred-complexity_bound_reasoning:8, inferred-bfs_adjacency_queue:3, inferred-final_scalar_value:3, inferred-dp_state_transition:2, inferred-loop_iteration_count:2, inferred-priority_queue_order:1","short_trace:84, final_value:38, complexity:33, loop_count:23, concept_choice:9","vector:53, stack:19, graph:12, tree:12, priority_queue:11, queue:3"
GESP-8|single_choice|hard|DS,185,"generic_concept:96, stack_state_trace:28, queue_state_trace:16, sorting_trace:13, bfs_adjacency_queue:8, loop_iteration_count:7, priority_queue_order:6, final_scalar_value:3, set_order_unique:3, complexity_bound_reasoning:2","inferred-generic_concept:96, inferred-stack_state_trace:28, inferred-queue_state_trace:16, inferred-sorting_trace:13, inferred-bfs_adjacency_queue:8, inferred-loop_iteration_count:7, inferred-priority_queue_order:6, inferred-final_scalar_value:3, inferred-set_order_unique:3, inferred-complexity_bound_reasoning:2","short_trace:112, final_value:37, loop_count:18, complexity:13, concept_choice:5","tree:57, vector:31, priority_queue:28, queue:28, stack:28, graph:16, deque:3, set:3, union_find:3, map:2"
GESP-1|single_choice|easy|BAS,182,"generic_concept:169, final_scalar_value:8, stack_state_trace:2, complexity_bound_reasoning:1, queue_state_trace:1, sorting_trace:1","inferred-generic_concept:169, inferred-final_scalar_value:8, inferred-stack_state_trace:2, inferred-complexity_bound_reasoning:1, inferred-queue_state_trace:1, inferred-sorting_trace:1","short_trace:102, final_value:54, concept_choice:22, complexity:3, loop_count:1","graph:3, vector:3, queue:2, stack:2, tree:1"
GESP-2|reading_program|medium|CPP,172,"generic_concept:52, final_scalar_value:50, loop_iteration_count:37, complexity_bound_reasoning:13, sorting_trace:12, stack_state_trace:5, binary_search_boundary:2, queue_state_trace:1","inferred-generic_concept:52, inferred-final_scalar_value:50, inferred-loop_iteration_count:37, inferred-complexity_bound_reasoning:13, inferred-sorting_trace:12, inferred-stack_state_trace:5, inferred-binary_search_boundary:2, inferred-queue_state_trace:1",program_trace:172,"vector:72, stack:5, graph:2, queue:1"
GESP-7|single_choice|medium|CPP,172,"generic_concept:85, final_scalar_value:51, sorting_trace:34, complexity_bound_reasoning:1, prefix_sum_query:1","inferred-generic_concept:85, inferred-final_scalar_value:51, inferred-sorting_trace:34, inferred-complexity_bound_reasoning:1, inferred-prefix_sum_query:1","final_value:87, short_trace:81, concept_choice:3, complexity:1",vector:50
GESP-8|single_choice|hard|ALG,165,"generic_concept:74, sorting_trace:38, binary_search_boundary:12, stack_state_trace:10, complexity_bound_reasoning:7, final_scalar_value:5, priority_queue_order:5, bfs_adjacency_queue:4, queue_state_trace:4, loop_iteration_count:3","inferred-generic_concept:74, inferred-sorting_trace:38, inferred-binary_search_boundary:12, inferred-stack_state_trace:10, inferred-complexity_bound_reasoning:7, inferred-final_scalar_value:5, inferred-priority_queue_order:5, inferred-bfs_adjacency_queue:4, inferred-queue_state_trace:4, inferred-loop_iteration_count:3","short_trace:75, final_value:41, loop_count:22, complexity:17, concept_choice:10","vector:66, graph:18, tree:17, stack:11, priority_queue:9, queue:9, set:2"
CSP-J|single_choice|easy|BAS,164,"generic_concept:147, stack_state_trace:7, final_scalar_value:4, sorting_trace:2, complexity_bound_reasoning:1, debug_trace_reasoning:1, memory_layout_basic:1, os_file_path_reasoning:1","inferred-generic_concept:147, inferred-stack_state_trace:7, inferred-final_scalar_value:4, inferred-sorting_trace:2, bas-debug-trace:1, bas-memory-layout-basic:1, bas-os-file-path:1, inferred-complexity_bound_reasoning:1","short_trace:110, final_value:33, concept_choice:18, complexity:3","stack:7, tree:5, graph:3, queue:2, vector:2, priority_queue:1"
GESP-7|single_choice|hard|CPP,162,"generic_concept:92, final_scalar_value:36, sorting_trace:31, complexity_bound_reasoning:1, map_count_lookup:1, prefix_sum_query:1","inferred-generic_concept:92, inferred-final_scalar_value:36, inferred-sorting_trace:31, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-prefix_sum_query:1","final_value:79, short_trace:77, concept_choice:5, complexity:1","vector:46, graph:1, map:1"
CSP-J|single_choice|easy|CPP,160,"generic_concept:142, final_scalar_value:14, loop_iteration_count:4","inferred-generic_concept:142, inferred-final_scalar_value:14, inferred-loop_iteration_count:4","final_value:79, short_trace:59, concept_choice:18, loop_count:4",vector:12
CSP-J|single_choice|medium|CPP,160,"generic_concept:139, final_scalar_value:19, sorting_trace:2","inferred-generic_concept:139, inferred-final_scalar_value:19, inferred-sorting_trace:2","final_value:75, short_trace:68, concept_choice:17",vector:20
GESP-1|reading_program|medium|CPP,157,"generic_concept:48, final_scalar_value:43, loop_iteration_count:41, complexity_bound_reasoning:11, sorting_trace:8, stack_state_trace:4, difference_array_update:1, queue_state_trace:1","inferred-generic_concept:48, inferred-final_scalar_value:43, inferred-loop_iteration_count:41, inferred-complexity_bound_reasoning:11, inferred-sorting_trace:8, inferred-stack_state_trace:4, inferred-difference_array_update:1, inferred-queue_state_trace:1",program_trace:157,"vector:55, stack:4, queue:2"
GESP-8|single_choice|medium|CPP,155,"generic_concept:137, final_scalar_value:14, complexity_bound_reasoning:1, loop_iteration_count:1, map_count_lookup:1, priority_queue_order:1","inferred-generic_concept:137, inferred-final_scalar_value:14, inferred-complexity_bound_reasoning:1, inferred-loop_iteration_count:1, inferred-map_count_lookup:1, inferred-priority_queue_order:1","final_value:78, short_trace:54, concept_choice:20, complexity:2, loop_count:1","vector:11, map:1, priority_queue:1"
CSP-J|single_choice|medium|BAS,154,"generic_concept:128, stack_state_trace:15, final_scalar_value:6, complexity_bound_reasoning:2, queue_state_trace:2, sorting_trace:1","inferred-generic_concept:128, inferred-stack_state_trace:15, inferred-final_scalar_value:6, inferred-complexity_bound_reasoning:2, inferred-queue_state_trace:2, inferred-sorting_trace:1","short_trace:86, final_value:39, concept_choice:24, complexity:3, loop_count:2","stack:15, tree:10, graph:5, vector:3, queue:2, priority_queue:1"
GESP-2|single_choice|medium|BAS,153,"generic_concept:128, stack_state_trace:16, sorting_trace:3, binary_search_boundary:2, complexity_bound_reasoning:1, final_scalar_value:1, loop_iteration_count:1, queue_state_trace:1","inferred-generic_concept:128, inferred-stack_state_trace:16, inferred-sorting_trace:3, inferred-binary_search_boundary:2, inferred-complexity_bound_reasoning:1, inferred-final_scalar_value:1, inferred-loop_iteration_count:1, inferred-queue_state_trace:1","short_trace:84, final_value:39, concept_choice:23, loop_count:4, complexity:3","stack:16, vector:8, tree:6, queue:4"
GESP-2|single_choice|easy|CS,147,"generic_concept:135, stack_state_trace:9, final_scalar_value:3","inferred-generic_concept:135, inferred-stack_state_trace:9, inferred-final_scalar_value:3","short_trace:83, concept_choice:32, final_value:31, complexity:1","stack:9, tree:7, queue:6, graph:5, vector:5"
GESP-7|single_choice|easy|DS,146,"generic_concept:36, stack_state_trace:34, set_order_unique:21, priority_queue_order:20, queue_state_trace:20, final_scalar_value:11, sorting_trace:2, binary_search_boundary:1, complexity_bound_reasoning:1","inferred-generic_concept:36, inferred-stack_state_trace:34, inferred-set_order_unique:21, inferred-priority_queue_order:20, inferred-queue_state_trace:20, inferred-final_scalar_value:11, inferred-sorting_trace:2, inferred-binary_search_boundary:1, inferred-complexity_bound_reasoning:1","short_trace:90, final_value:29, loop_count:13, concept_choice:10, complexity:4","stack:34, queue:24, priority_queue:21, set:20, union_find:18, tree:14, vector:12"
GESP-8|single_choice|hard|MATH,145,"generic_concept:107, final_scalar_value:8, stack_state_trace:8, complexity_bound_reasoning:6, set_order_unique:4, sorting_trace:4, queue_state_trace:3, priority_queue_order:2, binary_search_boundary:1, dp_state_transition:1","inferred-generic_concept:107, inferred-final_scalar_value:8, inferred-stack_state_trace:8, inferred-complexity_bound_reasoning:6, inferred-set_order_unique:4, inferred-sorting_trace:4, inferred-queue_state_trace:3, inferred-priority_queue_order:2, inferred-binary_search_boundary:1, inferred-dp_state_transition:1","short_trace:100, final_value:29, complexity:8, concept_choice:5, loop_count:3","tree:17, vector:13, stack:8, graph:7, queue:5, set:4, priority_queue:2, union_find:1"
CSP-S|single_choice|medium|CPP,141,"generic_concept:116, final_scalar_value:19, loop_iteration_count:3, complexity_bound_reasoning:1, sorting_trace:1, stack_state_trace:1","inferred-generic_concept:116, inferred-final_scalar_value:19, inferred-loop_iteration_count:3, inferred-complexity_bound_reasoning:1, inferred-sorting_trace:1, inferred-stack_state_trace:1","final_value:88, short_trace:34, concept_choice:15, loop_count:3, complexity:1","vector:9, stack:1"
CSP-S|single_choice|hard|DS,140,"generic_concept:57, stack_state_trace:24, queue_state_trace:17, priority_queue_order:12, sorting_trace:12, loop_iteration_count:5, complexity_bound_reasoning:4, bfs_adjacency_queue:2, map_count_lookup:2, set_order_unique:2","inferred-generic_concept:57, inferred-stack_state_trace:24, inferred-queue_state_trace:17, inferred-priority_queue_order:12, inferred-sorting_trace:12, inferred-loop_iteration_count:5, inferred-complexity_bound_reasoning:4, inferred-bfs_adjacency_queue:2, inferred-map_count_lookup:2, inferred-set_order_unique:2","short_trace:72, final_value:30, loop_count:24, complexity:9, concept_choice:5","vector:41, tree:38, priority_queue:24, queue:24, stack:24, graph:7, map:2, set:2, deque:1, union_find:1"
GESP-7|single_choice|easy|ALG,139,"generic_concept:42, sorting_trace:30, prefix_sum_query:22, binary_search_boundary:18, dp_state_transition:16, stack_state_trace:5, complexity_bound_reasoning:2, final_scalar_value:2, loop_iteration_count:1, queue_state_trace:1","inferred-generic_concept:42, inferred-sorting_trace:30, inferred-prefix_sum_query:22, inferred-binary_search_boundary:18, inferred-dp_state_transition:16, inferred-stack_state_trace:5, inferred-complexity_bound_reasoning:2, inferred-final_scalar_value:2, inferred-loop_iteration_count:1, inferred-queue_state_trace:1","final_value:65, short_trace:57, complexity:6, concept_choice:6, loop_count:5","vector:86, stack:5, tree:2, priority_queue:1, queue:1"
CSP-S|single_choice|hard|ALG,130,"generic_concept:48, sorting_trace:24, binary_search_boundary:18, complexity_bound_reasoning:14, dp_state_transition:6, stack_state_trace:6, priority_queue_order:4, final_scalar_value:3, loop_iteration_count:3, set_order_unique:2","inferred-generic_concept:48, inferred-sorting_trace:24, inferred-binary_search_boundary:18, inferred-complexity_bound_reasoning:14, inferred-dp_state_transition:6, inferred-stack_state_trace:6, inferred-priority_queue_order:4, inferred-final_scalar_value:3, inferred-loop_iteration_count:3, inferred-set_order_unique:2","short_trace:50, complexity:31, final_value:27, loop_count:18, concept_choice:4","vector:50, graph:19, tree:17, priority_queue:13, stack:7, union_find:6, queue:3, set:3"
GESP-8|single_choice|hard|CPP,130,"generic_concept:99, final_scalar_value:22, complexity_bound_reasoning:2, stack_state_trace:2, binary_search_boundary:1, loop_iteration_count:1, map_count_lookup:1, priority_queue_order:1, sorting_trace:1","inferred-generic_concept:99, inferred-final_scalar_value:22, inferred-complexity_bound_reasoning:2, inferred-stack_state_trace:2, inferred-binary_search_boundary:1, inferred-loop_iteration_count:1, inferred-map_count_lookup:1, inferred-priority_queue_order:1, inferred-sorting_trace:1","final_value:87, short_trace:29, concept_choice:10, complexity:3, loop_count:1","vector:16, stack:2, map:1, priority_queue:1, queue:1, union_find:1"
CSP-J|single_choice|easy|ALG,125,"generic_concept:55, sorting_trace:29, binary_search_boundary:19, stack_state_trace:12, complexity_bound_reasoning:8, bfs_adjacency_queue:1, final_scalar_value:1","inferred-generic_concept:55, inferred-sorting_trace:29, inferred-binary_search_boundary:19, inferred-stack_state_trace:12, inferred-complexity_bound_reasoning:8, inferred-bfs_adjacency_queue:1, inferred-final_scalar_value:1","short_trace:65, complexity:27, final_value:16, loop_count:12, concept_choice:5","vector:31, stack:12, tree:8, queue:5, graph:3, priority_queue:3, deque:1"
CSP-J|single_choice|medium|ALG,120,"generic_concept:53, sorting_trace:33, binary_search_boundary:8, stack_state_trace:7, bfs_adjacency_queue:6, complexity_bound_reasoning:5, final_scalar_value:4, dp_state_transition:1, loop_iteration_count:1, prefix_sum_query:1","inferred-generic_concept:53, inferred-sorting_trace:33, inferred-binary_search_boundary:8, inferred-stack_state_trace:7, inferred-bfs_adjacency_queue:6, inferred-complexity_bound_reasoning:5, inferred-final_scalar_value:4, inferred-dp_state_transition:1, inferred-loop_iteration_count:1, inferred-prefix_sum_query:1","short_trace:55, final_value:34, complexity:20, loop_count:7, concept_choice:4","vector:29, tree:11, graph:8, stack:7, priority_queue:5, queue:2"
GESP-2|single_choice|medium|CS,117,"generic_concept:83, stack_state_trace:17, sorting_trace:6, complexity_bound_reasoning:4, queue_state_trace:3, final_scalar_value:2, bfs_adjacency_queue:1, binary_search_boundary:1","inferred-generic_concept:83, inferred-stack_state_trace:17, inferred-sorting_trace:6, inferred-complexity_bound_reasoning:4, inferred-queue_state_trace:3, inferred-final_scalar_value:2, inferred-bfs_adjacency_queue:1, inferred-binary_search_boundary:1","short_trace:56, final_value:30, concept_choice:14, complexity:12, loop_count:5","stack:18, tree:9, queue:8, vector:8, priority_queue:3"
GESP-7|reading_program|medium|ALG,115,"prefix_sum_query:35, complexity_bound_reasoning:30, generic_concept:12, loop_iteration_count:12, final_scalar_value:11, sorting_trace:11, stack_state_trace:3, binary_search_boundary:1","inferred-prefix_sum_query:35, inferred-complexity_bound_reasoning:30, inferred-generic_concept:12, inferred-loop_iteration_count:12, inferred-final_scalar_value:11, inferred-sorting_trace:11, inferred-stack_state_trace:3, inferred-binary_search_boundary:1",program_trace:115,"vector:94, stack:3"
GESP-7|single_choice|medium|MATH,113,"generic_concept:73, final_scalar_value:35, stack_state_trace:2, prefix_sum_query:1, set_order_unique:1, sorting_trace:1","inferred-generic_concept:73, inferred-final_scalar_value:35, inferred-stack_state_trace:2, inferred-prefix_sum_query:1, inferred-set_order_unique:1, inferred-sorting_trace:1","final_value:60, short_trace:51, concept_choice:2","stack:2, vector:2, set:1"
GESP-8|single_choice|easy|ALG,110,"generic_concept:53, sorting_trace:25, complexity_bound_reasoning:8, stack_state_trace:7, queue_state_trace:6, binary_search_boundary:5, final_scalar_value:3, priority_queue_order:2, dp_state_transition:1","inferred-generic_concept:53, inferred-sorting_trace:25, inferred-complexity_bound_reasoning:8, inferred-stack_state_trace:7, inferred-queue_state_trace:6, inferred-binary_search_boundary:5, inferred-final_scalar_value:3, inferred-priority_queue_order:2, inferred-dp_state_transition:1","short_trace:53, final_value:29, complexity:15, loop_count:7, concept_choice:6","vector:24, queue:9, stack:9, tree:8, priority_queue:3, deque:1, graph:1"
GESP-1|reading_program|easy|CPP,103,"generic_concept:49, final_scalar_value:30, loop_iteration_count:18, complexity_bound_reasoning:5, stack_state_trace:1","inferred-generic_concept:49, inferred-final_scalar_value:30, inferred-loop_iteration_count:18, inferred-complexity_bound_reasoning:5, inferred-stack_state_trace:1",program_trace:103,"vector:15, graph:1, stack:1"
GESP-2|reading_program|easy|CPP,103,"generic_concept:41, final_scalar_value:31, loop_iteration_count:18, complexity_bound_reasoning:11, prefix_sum_query:1, sorting_trace:1","inferred-generic_concept:41, inferred-final_scalar_value:31, inferred-loop_iteration_count:18, inferred-complexity_bound_reasoning:11, inferred-prefix_sum_query:1, inferred-sorting_trace:1",program_trace:103,"vector:25, graph:1, union_find:1"
GESP-6|single_choice|medium|ALG,102,"generic_concept:41, sorting_trace:25, binary_search_boundary:15, stack_state_trace:7, complexity_bound_reasoning:4, final_scalar_value:3, loop_iteration_count:2, queue_state_trace:2, bfs_adjacency_queue:1, priority_queue_order:1","inferred-generic_concept:41, inferred-sorting_trace:25, inferred-binary_search_boundary:15, inferred-stack_state_trace:7, inferred-complexity_bound_reasoning:4, inferred-final_scalar_value:3, inferred-loop_iteration_count:2, inferred-queue_state_trace:2, inferred-bfs_adjacency_queue:1, inferred-priority_queue_order:1","short_trace:47, final_value:21, loop_count:19, complexity:10, concept_choice:5","vector:40, stack:8, graph:4, queue:3, priority_queue:2, set:2, tree:2"
GESP-7|reading_program|hard|ALG,102,"prefix_sum_query:28, complexity_bound_reasoning:25, sorting_trace:17, loop_iteration_count:7, stack_state_trace:7, final_scalar_value:6, generic_concept:5, binary_search_boundary:4, dp_state_transition:3","inferred-prefix_sum_query:28, inferred-complexity_bound_reasoning:25, inferred-sorting_trace:17, inferred-loop_iteration_count:7, inferred-stack_state_trace:7, inferred-final_scalar_value:6, inferred-generic_concept:5, inferred-binary_search_boundary:4, inferred-dp_state_transition:3",program_trace:102,"vector:93, stack:7"
CSP-S|reading_program|medium|ALG,101,"loop_iteration_count:23, final_scalar_value:22, generic_concept:18, complexity_bound_reasoning:17, sorting_trace:13, dp_state_transition:6, prefix_sum_query:1, stack_state_trace:1","inferred-loop_iteration_count:23, inferred-final_scalar_value:22, inferred-generic_concept:18, inferred-complexity_bound_reasoning:17, inferred-sorting_trace:13, inferred-dp_state_transition:6, inferred-prefix_sum_query:1, inferred-stack_state_trace:1",program_trace:101,"vector:65, stack:1"
GESP-8|reading_program|hard|ALG,101,"prefix_sum_query:19, sorting_trace:17, final_scalar_value:15, dp_state_transition:11, generic_concept:9, complexity_bound_reasoning:8, binary_search_boundary:6, loop_iteration_count:6, difference_array_update:3, stack_state_trace:3","inferred-prefix_sum_query:19, inferred-sorting_trace:17, inferred-final_scalar_value:15, inferred-dp_state_transition:11, inferred-generic_concept:9, inferred-complexity_bound_reasoning:8, inferred-binary_search_boundary:6, inferred-loop_iteration_count:6, inferred-difference_array_update:3, inferred-stack_state_trace:3",program_trace:101,"vector:91, stack:5, graph:3, map:2, priority_queue:2, queue:1, union_find:1"
CSP-S|single_choice|medium|MATH,99,"generic_concept:80, stack_state_trace:7, set_order_unique:3, binary_search_boundary:2, final_scalar_value:2, sorting_trace:2, complexity_bound_reasoning:1, loop_iteration_count:1, queue_state_trace:1","inferred-generic_concept:80, inferred-stack_state_trace:7, inferred-set_order_unique:3, inferred-binary_search_boundary:2, inferred-final_scalar_value:2, inferred-sorting_trace:2, inferred-complexity_bound_reasoning:1, inferred-loop_iteration_count:1, inferred-queue_state_trace:1","short_trace:67, final_value:23, concept_choice:5, complexity:3, loop_count:1","tree:11, stack:7, graph:5, vector:5, set:3, queue:1"
