key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
MATH|single_choice|medium,490,"generic_concept:380, final_scalar_value:48, stack_state_trace:22, set_order_unique:9, sorting_trace:9, complexity_bound_reasoning:8, binary_search_boundary:6, loop_iteration_count:3, queue_state_trace:3, dp_state_transition:1","inferred-generic_concept:380, inferred-final_scalar_value:48, inferred-stack_state_trace:22, inferred-set_order_unique:9, inferred-sorting_trace:9, inferred-complexity_bound_reasoning:8, inferred-binary_search_boundary:6, inferred-loop_iteration_count:3, inferred-queue_state_trace:3, inferred-dp_state_transition:1","short_trace:322, final_value:131, concept_choice:18, complexity:13, loop_count:6","tree:38, vector:26, stack:22, graph:10, set:9, queue:4, priority_queue:1"
DS|single_choice|easy,431,"generic_concept:154, stack_state_trace:109, queue_state_trace:59, priority_queue_order:27, set_order_unique:22, sorting_trace:22, complexity_bound_reasoning:12, final_scalar_value:12, bfs_adjacency_queue:7, binary_search_boundary:5","inferred-generic_concept:154, inferred-stack_state_trace:109, inferred-queue_state_trace:59, inferred-priority_queue_order:27, inferred-set_order_unique:22, inferred-sorting_trace:22, inferred-complexity_bound_reasoning:12, inferred-final_scalar_value:12, inferred-bfs_adjacency_queue:7, inferred-binary_search_boundary:5","short_trace:268, final_value:61, loop_count:43, concept_choice:38, complexity:21","stack:113, tree:89, queue:76, vector:57, priority_queue:42, set:21, union_find:20, graph:19, deque:1"
ALG|reading_program|medium,407,"complexity_bound_reasoning:92, generic_concept:64, loop_iteration_count:63, final_scalar_value:60, sorting_trace:50, prefix_sum_query:41, dp_state_transition:17, stack_state_trace:13, binary_search_boundary:5, difference_array_update:1","inferred-complexity_bound_reasoning:92, inferred-generic_concept:64, inferred-loop_iteration_count:63, inferred-final_scalar_value:60, inferred-sorting_trace:50, inferred-prefix_sum_query:41, inferred-dp_state_transition:17, inferred-stack_state_trace:13, inferred-binary_search_boundary:5, inferred-difference_array_update:1",program_trace:407,"vector:277, stack:13, graph:2, priority_queue:1, queue:1, union_find:1"
CPP|reading_program|medium,379,"generic_concept:117, final_scalar_value:108, loop_iteration_count:85, complexity_bound_reasoning:31, sorting_trace:23, stack_state_trace:10, binary_search_boundary:2, queue_state_trace:2, difference_array_update:1","inferred-generic_concept:117, inferred-final_scalar_value:108, inferred-loop_iteration_count:85, inferred-complexity_bound_reasoning:31, inferred-sorting_trace:23, inferred-stack_state_trace:10, inferred-binary_search_boundary:2, inferred-queue_state_trace:2, inferred-difference_array_update:1",program_trace:379,"vector:142, stack:10, queue:3, graph:2"
ALG|reading_program|hard,361,"complexity_bound_reasoning:68, sorting_trace:64, prefix_sum_query:48, dp_state_transition:38, generic_concept:37, final_scalar_value:34, loop_iteration_count:22, stack_state_trace:21, binary_search_boundary:15, priority_queue_order:5","inferred-complexity_bound_reasoning:68, inferred-sorting_trace:64, inferred-prefix_sum_query:48, inferred-dp_state_transition:38, inferred-generic_concept:37, inferred-final_scalar_value:34, inferred-loop_iteration_count:22, inferred-stack_state_trace:21, inferred-binary_search_boundary:15, inferred-priority_queue_order:5",program_trace:361,"vector:299, stack:23, queue:10, graph:7, priority_queue:6, map:2, tree:2, union_find:2, set:1"
MATH|single_choice|hard,337,"generic_concept:239, final_scalar_value:36, stack_state_trace:14, sorting_trace:13, complexity_bound_reasoning:11, set_order_unique:8, binary_search_boundary:4, queue_state_trace:4, loop_iteration_count:3, priority_queue_order:2","inferred-generic_concept:239, inferred-final_scalar_value:36, inferred-stack_state_trace:14, inferred-sorting_trace:13, inferred-complexity_bound_reasoning:11, inferred-set_order_unique:8, inferred-binary_search_boundary:4, inferred-queue_state_trace:4, inferred-loop_iteration_count:3, inferred-priority_queue_order:2","short_trace:212, final_value:96, complexity:16, concept_choice:8, loop_count:5","tree:27, vector:21, graph:16, stack:14, set:8, queue:6, priority_queue:2, union_find:1"
CS|single_choice|easy,310,"generic_concept:287, stack_state_trace:13, sorting_trace:4, final_scalar_value:3, binary_search_boundary:1, complexity_bound_reasoning:1, map_count_lookup:1","inferred-generic_concept:287, inferred-stack_state_trace:13, inferred-sorting_trace:4, inferred-final_scalar_value:3, inferred-binary_search_boundary:1, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1","short_trace:185, final_value:62, concept_choice:56, complexity:7","graph:14, stack:13, vector:10, tree:9, queue:8, priority_queue:3, map:1"
CS|single_choice|medium,290,"generic_concept:225, stack_state_trace:27, sorting_trace:13, complexity_bound_reasoning:8, queue_state_trace:7, binary_search_boundary:4, final_scalar_value:3, loop_iteration_count:2, bfs_adjacency_queue:1","inferred-generic_concept:225, inferred-stack_state_trace:27, inferred-sorting_trace:13, inferred-complexity_bound_reasoning:8, inferred-queue_state_trace:7, inferred-binary_search_boundary:4, inferred-final_scalar_value:3, inferred-loop_iteration_count:2, inferred-bfs_adjacency_queue:1","short_trace:144, final_value:80, concept_choice:35, complexity:22, loop_count:9","stack:28, tree:20, vector:19, queue:16, priority_queue:5, graph:4"
DS|reading_program|medium,266,"stack_state_trace:225, priority_queue_order:18, queue_state_trace:16, complexity_bound_reasoning:2, generic_concept:2, sorting_trace:2, final_scalar_value:1","inferred-stack_state_trace:225, inferred-priority_queue_order:18, inferred-queue_state_trace:16, inferred-complexity_bound_reasoning:2, inferred-generic_concept:2, inferred-sorting_trace:2, inferred-final_scalar_value:1",program_trace:266,"stack:226, queue:73, vector:64, priority_queue:19, deque:6, union_find:5, set:1"
MATH|single_choice|easy,253,"generic_concept:213, final_scalar_value:24, sorting_trace:5, stack_state_trace:4, binary_search_boundary:3, prefix_sum_query:2, queue_state_trace:1, set_order_unique:1","inferred-generic_concept:213, inferred-final_scalar_value:24, inferred-sorting_trace:5, inferred-stack_state_trace:4, inferred-binary_search_boundary:3, inferred-prefix_sum_query:2, inferred-queue_state_trace:1, inferred-set_order_unique:1","short_trace:178, final_value:68, concept_choice:3, complexity:2, loop_count:2","tree:9, vector:7, stack:4, graph:2, queue:1, set:1"
CPP|reading_program|easy,236,"generic_concept:106, final_scalar_value:71, loop_iteration_count:39, complexity_bound_reasoning:17, prefix_sum_query:1, sorting_trace:1, stack_state_trace:1","inferred-generic_concept:106, inferred-final_scalar_value:71, inferred-loop_iteration_count:39, inferred-complexity_bound_reasoning:17, inferred-prefix_sum_query:1, inferred-sorting_trace:1, inferred-stack_state_trace:1",program_trace:236,"vector:47, graph:2, stack:1, union_find:1"
BAS|single_choice|hard,220,"generic_concept:181, stack_state_trace:15, final_scalar_value:9, complexity_bound_reasoning:6, queue_state_trace:4, sorting_trace:3, bfs_adjacency_queue:1, binary_search_boundary:1","inferred-generic_concept:181, inferred-stack_state_trace:15, inferred-final_scalar_value:9, inferred-complexity_bound_reasoning:6, inferred-queue_state_trace:4, inferred-sorting_trace:3, inferred-bfs_adjacency_queue:1, inferred-binary_search_boundary:1","short_trace:105, final_value:75, concept_choice:31, complexity:8, loop_count:1","stack:15, tree:9, vector:8, queue:5, graph:3, priority_queue:2, set:1"
ALG|completion_program|hard,219,"blank_completion:99, sorting_trace:26, prefix_sum_query:22, binary_search_boundary:21, dp_state_transition:17, bfs_adjacency_queue:9, complexity_bound_reasoning:6, stack_state_trace:6, map_count_lookup:5, queue_state_trace:4","inferred-blank_completion:99, inferred-sorting_trace:26, inferred-prefix_sum_query:22, inferred-binary_search_boundary:21, inferred-dp_state_transition:17, inferred-bfs_adjacency_queue:9, inferred-complexity_bound_reasoning:6, inferred-stack_state_trace:6, inferred-map_count_lookup:5, inferred-queue_state_trace:4",blank_completion:219,"vector:163, graph:25, queue:10, union_find:9, tree:7, stack:6, map:5, priority_queue:3, set:3, deque:2"
DS|reading_program|hard,209,"stack_state_trace:156, queue_state_trace:27, priority_queue_order:19, deque_two_end_trace:6, loop_iteration_count:1","inferred-stack_state_trace:156, inferred-queue_state_trace:27, inferred-priority_queue_order:19, inferred-deque_two_end_trace:6, inferred-loop_iteration_count:1",program_trace:209,"stack:158, queue:88, vector:44, deque:26, priority_queue:19, union_find:5, set:1"
ALG|completion_program|medium,189,"blank_completion:111, prefix_sum_query:30, sorting_trace:18, binary_search_boundary:14, dp_state_transition:9, stack_state_trace:4, complexity_bound_reasoning:1, map_count_lookup:1, queue_state_trace:1","inferred-blank_completion:111, inferred-prefix_sum_query:30, inferred-sorting_trace:18, inferred-binary_search_boundary:14, inferred-dp_state_transition:9, inferred-stack_state_trace:4, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-queue_state_trace:1",blank_completion:189,"vector:106, stack:4, graph:3, deque:1, map:1, queue:1, union_find:1"
DS|completion_program|medium,166,"stack_state_trace:123, queue_state_trace:32, blank_completion:4, sorting_trace:3, priority_queue_order:2, bfs_adjacency_queue:1, binary_search_boundary:1","inferred-stack_state_trace:123, inferred-queue_state_trace:32, inferred-blank_completion:4, inferred-sorting_trace:3, inferred-priority_queue_order:2, inferred-bfs_adjacency_queue:1, inferred-binary_search_boundary:1",blank_completion:166,"stack:123, queue:46, vector:45, tree:4, deque:3, graph:2, priority_queue:2, union_find:2"
DS|completion_program|hard,164,"stack_state_trace:99, queue_state_trace:41, blank_completion:10, priority_queue_order:6, bfs_adjacency_queue:2, sorting_trace:2, complexity_bound_reasoning:1, map_count_lookup:1, prefix_sum_query:1, set_order_unique:1","inferred-stack_state_trace:99, inferred-queue_state_trace:41, inferred-blank_completion:10, inferred-priority_queue_order:6, inferred-bfs_adjacency_queue:2, inferred-sorting_trace:2, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-prefix_sum_query:1, inferred-set_order_unique:1",blank_completion:164,"stack:99, vector:62, queue:58, tree:11, deque:9, union_find:8, priority_queue:7, graph:3, map:1, set:1"
CPP|reading_program|hard,146,"final_scalar_value:41, generic_concept:32, sorting_trace:28, loop_iteration_count:26, stack_state_trace:10, complexity_bound_reasoning:5, binary_search_boundary:1, dp_state_transition:1, queue_state_trace:1, set_order_unique:1","inferred-final_scalar_value:41, inferred-generic_concept:32, inferred-sorting_trace:28, inferred-loop_iteration_count:26, inferred-stack_state_trace:10, inferred-complexity_bound_reasoning:5, inferred-binary_search_boundary:1, inferred-dp_state_transition:1, inferred-queue_state_trace:1, inferred-set_order_unique:1",program_trace:146,"vector:101, stack:10, union_find:7, queue:2, graph:1, priority_queue:1"
ALG|reading_program|easy,126,"generic_concept:30, loop_iteration_count:28, final_scalar_value:23, complexity_bound_reasoning:20, prefix_sum_query:12, sorting_trace:10, dp_state_transition:1, set_order_unique:1, stack_state_trace:1","inferred-generic_concept:30, inferred-loop_iteration_count:28, inferred-final_scalar_value:23, inferred-complexity_bound_reasoning:20, inferred-prefix_sum_query:12, inferred-sorting_trace:10, inferred-dp_state_transition:1, inferred-set_order_unique:1, inferred-stack_state_trace:1",program_trace:126,"vector:60, graph:6, priority_queue:1, stack:1"
CS|single_choice|hard,101,"generic_concept:79, sorting_trace:8, stack_state_trace:5, complexity_bound_reasoning:3, bfs_adjacency_queue:2, binary_search_boundary:2, final_scalar_value:1, queue_state_trace:1","inferred-generic_concept:79, inferred-sorting_trace:8, inferred-stack_state_trace:5, inferred-complexity_bound_reasoning:3, inferred-bfs_adjacency_queue:2, inferred-binary_search_boundary:2, inferred-final_scalar_value:1, inferred-queue_state_trace:1","short_trace:50, final_value:31, concept_choice:11, complexity:9","tree:9, graph:7, vector:7, priority_queue:6, stack:6, queue:3"
DS|reading_program|easy,73,"stack_state_trace:57, queue_state_trace:11, generic_concept:3, map_count_lookup:1, priority_queue_order:1","inferred-stack_state_trace:57, inferred-queue_state_trace:11, inferred-generic_concept:3, inferred-map_count_lookup:1, inferred-priority_queue_order:1",program_trace:73,"stack:57, queue:18, vector:7, map:1, priority_queue:1"
ALG|completion_program|easy,58,"blank_completion:45, sorting_trace:5, prefix_sum_query:4, binary_search_boundary:3, stack_state_trace:1","inferred-blank_completion:45, inferred-sorting_trace:5, inferred-prefix_sum_query:4, inferred-binary_search_boundary:3, inferred-stack_state_trace:1",blank_completion:58,"vector:25, stack:1"
DS|completion_program|easy,45,"stack_state_trace:30, queue_state_trace:12, blank_completion:2, bfs_adjacency_queue:1","inferred-stack_state_trace:30, inferred-queue_state_trace:12, inferred-blank_completion:2, inferred-bfs_adjacency_queue:1",blank_completion:45,"stack:30, vector:14, queue:13, union_find:2, graph:1, set:1"
