id,sourcePath,examTypes,questionType,difficulty,kpGroup,taskFlavor,qualityScore,reasons,recommendedAction
db:15f333c1-3a47-405f-b092-9bb50f59dc0e,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:164dd3bd-bb31-4a89-bce6-16429aceac7e,db:questions,CSP-J|CSP-S,completion_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:16f0cffc-d4f0-406b-affe-734562957e63,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:17178815-5d93-4300-b232-41bb06601960,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:171ef0c9-d08d-49c1-8102-47e4d2b3d9a1,db:questions,CSP-J|CSP-S,single_choice,hard,CS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:17bd35d1-a9e5-4e05-9797-fc39651746dc,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:17f59be8-455e-452f-84c7-17460d47a401,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:18b47d99-8361-4f05-9ac5-a72da1db8fc1,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:18bb837d-219c-4ef8-bfb9-c9ebd9b1c3d9,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:192da515-d398-43e3-98c1-f83f180b594d,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:19ad0842-561c-4e7e-9da8-04526f64a000,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1ac20e20-ca3a-4a5f-9662-82a93ee1621b,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1b22e194-53fa-4d6d-bd45-2738b392328a,db:questions,CSP-J|CSP-S,reading_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1c77f7f1-b9c1-4447-87c9-0634a8aab61f,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1d4e9a39-922a-40c1-ae07-0c09b0d1917e,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1d7f9b1a-7b74-4a59-b340-4010075acc14,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,dp_state_transition,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1db9c4ed-5d24-4e32-921c-56d957cecab1,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1f5609e2-897d-4fdd-b5c7-030565cf52ec,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,dp_state_transition,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:1febae75-138e-4fd7-a3c6-418078e1ca5e,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:214c03bc-6eae-4bce-a11f-58a533a5e99c,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:22746fc5-64f4-414b-83bd-5a10af1ffc55,db:questions,CSP-J|CSP-S,single_choice,hard,DS,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:229a4496-fb76-493f-b75b-0264d83debf7,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:22a7753c-4373-4e9f-8caf-d258e09db77c,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:22aed9f0-e33f-433d-be2e-a4505a4b8669,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:23eb5467-3f5b-46a9-bf1a-efea5ab2bd6f,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:24c931be-d26d-40ed-8866-387183c360ef,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:257128e8-7498-434a-926c-11935e399971,db:questions,CSP-J|CSP-S,single_choice,hard,BAS,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:270ed258-6f9b-452b-a5fc-b9559ab45f2a,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2760ac08-4ead-4aad-bb9a-2c431f06a67b,db:questions,CSP-J|CSP-S,completion_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2788703f-2f8b-44cf-ada6-8007153f9955,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2834e578-37c4-466e-9f6b-074082e49159,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:294c29d9-5bfa-4603-9e18-4d365fe3463b,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,dp_state_transition,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2ac5ee52-2707-4374-8bb0-337d47e07eed,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2c3f8f00-7205-4e94-8ab4-0fc039755778,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2c8b0412-d2d3-4d4e-acc2-5c1375a5d5b2,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2dac2609-cd73-41e0-a6d8-65dd878d5ecb,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2dc0fee9-2319-49b4-86f2-7dd272d0af9a,db:questions,CSP-J|CSP-S,completion_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2eb3ac8c-09d3-4582-9c26-891968d035e7,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2f1e6bf5-bc5b-44a1-8eab-2d9db059384a,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:2fe217bc-fe1c-4fcf-910c-25cab2f65783,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:30515908-d3c4-4e8d-bb9e-45a71a42ee86,db:questions,CSP-J|CSP-S,single_choice,hard,DS,priority_queue_order,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:332ac312-3af2-4c7a-a374-2f1f33c3feec,db:questions,CSP-J|CSP-S,single_choice,hard,DS,set_order_unique,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:34c914cf-6fc2-4442-b52b-376ef4658e6b,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:35149e99-3c96-43ba-9f5e-6fd5cff42f14,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:356a8198-69b1-43f5-81bc-55f9c21ef106,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:358d58cf-ea4d-4ee6-aaf2-6fc25793dfc4,db:questions,CSP-J|CSP-S,completion_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:37f6f930-1fc6-4bfd-b5a9-2b55ebbfacff,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,dp_state_transition,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:39c5d0ed-b749-4838-8072-0b8269f53d07,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:3c5e20be-0bfd-4173-a1f5-b9a65ecd4217,db:questions,CSP-J|CSP-S,single_choice,hard,DS,priority_queue_order,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:3d1c34ba-8250-458e-a0a4-8513a0ff49dc,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:3d5efcb3-75fc-408b-ab7d-3977559f317b,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:3e1eb52b-4458-4b22-a552-0552f751f8e6,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,dp_state_transition,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:3f4632dd-c78a-49d2-af7b-db7baccbf5f6,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:3f8d4bcc-6c67-4448-b400-73415d95dc59,db:questions,CSP-J|CSP-S,reading_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:3fada0b3-f8c4-4de0-a4e6-a67c30186f05,db:questions,CSP-J|CSP-S,single_choice,hard,DS,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:4008e569-31a7-4aea-b8e6-3b1d8d697e1e,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:41c2714f-f196-4122-b350-0b582dc25fcd,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:41d99635-ffc2-40d6-9720-37b8e9742c2b,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:445749d1-a3b1-4292-b25b-03db2a951bd3,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:451a07e8-7509-4ee3-845c-f7779eea3b2f,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:46100dd1-1a07-42a4-baf1-510326bf1cfa,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:473b018f-e825-401a-9ce0-3597ae2e2c4c,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:476ade34-1500-44eb-bff3-532982573876,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:47bd5b5f-eaa3-4524-a17d-b0ef3ab978c0,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:49c15b07-383d-4a9a-8934-d16d4b7aec7d,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:4acc6b1e-c5d0-494a-84c9-cd3100753a27,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:4b873c05-3b22-4ee6-8f49-ff08f6b3dd8c,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:4bddcc6b-8f40-4935-b027-f94e8a60ba87,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:4cdbb72d-f147-477a-ba64-13ae74d9d13f,db:questions,CSP-J|CSP-S,reading_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:4db5b72b-b475-401a-b504-24781f13337e,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:4ed4f549-1f61-4fce-a0fc-795cc57953ec,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
