examType,questionType,difficulty,kpGroup,required,available,rawDeficit,rewrite,abandon,salvage,lowQuality,compliant,qualityAdjustedDeficit,situation
CSP-J,single_choice,medium,BAS,160,154,6,92,13,79,85,62,98,quantity_and_quality_deficit
GESP-8,single_choice,hard,ALG,140,165,0,121,3,118,119,44,96,quality_deficit
GESP-6,reading_program,medium,ALG,99,5,94,0,0,0,0,5,94,quantity_and_quality_deficit
GESP-5,single_choice,medium,DS,90,5,85,5,0,5,0,0,90,quantity_and_quality_deficit
GESP-7,single_choice,hard,CPP,105,162,0,147,37,110,147,15,90,quality_deficit
GESP-3,reading_program,medium,ALG,94,5,89,0,0,0,0,5,89,quantity_and_quality_deficit
GESP-6,single_choice,medium,MATH,90,11,79,10,1,9,9,1,89,quantity_and_quality_deficit
GESP-5,single_choice,medium,BAS,90,9,81,7,4,3,7,2,88,quantity_and_quality_deficit
GESP-4,reading_program,medium,ALG,94,9,85,2,0,2,0,7,87,quantity_and_quality_deficit
CSP-S,single_choice,medium,DS,200,215,0,102,0,102,21,113,87,quality_deficit
GESP-6,single_choice,easy,CPP,90,10,80,6,0,6,0,4,86,quantity_and_quality_deficit
GESP-8,single_choice,medium,DS,180,227,0,133,0,133,27,94,86,quality_deficit
GESP-5,single_choice,easy,MATH,90,5,85,0,0,0,0,5,85,quantity_and_quality_deficit
GESP-5,single_choice,easy,CPP,90,15,75,10,0,10,0,5,85,quantity_and_quality_deficit
CSP-S,single_choice,hard,ALG,120,130,0,95,7,88,94,35,85,quality_deficit
GESP-3,completion_program,medium,ALG,89,5,84,0,0,0,0,5,84,quantity_and_quality_deficit
GESP-4,completion_program,medium,ALG,89,5,84,0,0,0,0,5,84,quantity_and_quality_deficit
GESP-3,single_choice,medium,MATH,80,0,80,0,0,0,0,0,80,quantity_and_quality_deficit
GESP-4,single_choice,medium,MATH,80,5,75,5,2,3,5,0,80,quantity_and_quality_deficit
GESP-8,single_choice,hard,CPP,105,130,0,105,10,95,104,25,80,quality_deficit
GESP-3,single_choice,hard,BAS,80,5,75,4,0,4,4,1,79,quantity_and_quality_deficit
CSP-S,single_choice,hard,CPP,90,91,0,80,0,80,80,11,79,quality_deficit
GESP-7,single_choice,medium,MATH,90,113,0,102,65,37,101,11,79,quality_deficit
GESP-3,single_choice,hard,ALG,80,10,70,8,0,8,8,2,78,quantity_and_quality_deficit
CSP-J,single_choice,hard,BAS,80,80,0,77,2,75,77,3,77,quality_deficit
GESP-8,single_choice,medium,MATH,180,200,0,97,14,83,93,103,77,quality_deficit
GESP-5,single_choice,hard,MATH,75,5,70,5,5,0,5,0,75,quantity_and_quality_deficit
GESP-5,single_choice,hard,CPP,75,10,65,9,0,9,9,1,74,quantity_and_quality_deficit
GESP-6,single_choice,hard,CPP,75,15,60,14,5,9,14,1,74,quantity_and_quality_deficit
GESP-4,single_choice,easy,MATH,80,14,66,5,0,5,0,9,71,quantity_and_quality_deficit
CSP-J,single_choice,hard,CPP,80,62,18,53,0,53,53,9,71,quantity_and_quality_deficit
GESP-3,single_choice,easy,MATH,80,15,65,5,0,5,0,10,70,quantity_and_quality_deficit
GESP-1,single_choice,hard,CPP,80,63,17,52,0,52,51,11,69,quantity_and_quality_deficit
GESP-7,single_choice,hard,MATH,70,87,0,85,48,37,85,2,68,quality_deficit
GESP-4,completion_program,hard,ALG,67,0,67,0,0,0,0,0,67,quantity_and_quality_deficit
GESP-2,single_choice,hard,CPP,80,62,18,49,0,49,49,13,67,quantity_and_quality_deficit
GESP-7,single_choice,medium,ALG,225,275,0,117,20,97,41,158,67,quality_deficit
GESP-5,reading_program,hard,ALG,65,0,65,0,0,0,0,0,65,quantity_and_quality_deficit
GESP-3,completion_program,hard,ALG,67,5,62,1,0,1,1,4,63,quantity_and_quality_deficit
CSP-J,single_choice,medium,CPP,160,160,0,63,17,46,58,97,63,quality_deficit
GESP-2,single_choice,medium,CS,120,117,3,58,3,55,56,59,61,quantity_and_quality_deficit
GESP-5,single_choice,easy,BAS,60,0,60,0,0,0,0,0,60,quantity_and_quality_deficit
GESP-6,reading_program,hard,ALG,65,5,60,0,0,0,0,5,60,quantity_and_quality_deficit
GESP-6,single_choice,easy,MATH,60,0,60,0,0,0,0,0,60,quantity_and_quality_deficit
CSP-S,single_choice,hard,MATH,60,65,0,65,0,65,65,0,60,quality_deficit
GESP-5,single_choice,easy,DS,60,5,55,4,0,4,0,1,59,quantity_and_quality_deficit
GESP-4,single_choice,hard,BAS,60,10,50,9,4,5,9,1,59,quantity_and_quality_deficit
GESP-5,single_choice,medium,ALG,225,201,24,35,0,35,29,166,59,quantity_and_quality_deficit
CSP-S,single_choice,medium,CPP,150,141,9,45,9,36,43,96,54,quantity_and_quality_deficit
CSP-S,single_choice,medium,MATH,100,99,1,52,7,45,51,47,53,quantity_and_quality_deficit
GESP-3,reading_program,easy,ALG,51,0,51,0,0,0,0,0,51,quantity_and_quality_deficit
GESP-4,reading_program,hard,ALG,55,4,51,0,0,0,0,4,51,quantity_and_quality_deficit
GESP-3,reading_program,hard,ALG,55,5,50,0,0,0,0,5,50,quantity_and_quality_deficit
GESP-5,reading_program,medium,DS,50,0,50,0,0,0,0,0,50,quantity_and_quality_deficit
GESP-5,single_choice,hard,DS,50,3,47,3,3,0,3,0,50,quantity_and_quality_deficit
GESP-5,single_choice,hard,BAS,50,5,45,4,0,4,4,1,49,quantity_and_quality_deficit
GESP-6,reading_program,medium,DS,50,5,45,4,0,4,0,1,49,quantity_and_quality_deficit
GESP-6,single_choice,hard,MATH,50,10,40,9,0,9,9,1,49,quantity_and_quality_deficit
GESP-1,completion_program,easy,CPP,62,37,25,24,0,24,0,13,49,quantity_and_quality_deficit
CSP-J,single_choice,hard,ALG,60,60,0,49,0,49,48,11,49,quality_deficit
GESP-1,single_choice,hard,BAS,50,50,0,49,1,48,49,1,49,quality_deficit
GESP-7,single_choice,medium,CPP,135,172,0,86,46,40,86,86,49,quality_deficit
GESP-3,reading_program,medium,CPP,47,0,47,0,0,0,0,0,47,quantity_and_quality_deficit
GESP-4,reading_program,medium,CPP,47,0,47,0,0,0,0,0,47,quantity_and_quality_deficit
CSP-J,reading_program,medium,DS,50,62,0,59,0,59,0,3,47,quality_deficit
GESP-4,reading_program,easy,ALG,51,5,46,0,0,0,0,5,46,quantity_and_quality_deficit
GESP-5,completion_program,medium,MATH,46,0,46,0,0,0,0,0,46,quantity_and_quality_deficit
GESP-6,completion_program,medium,ALG,46,0,46,0,0,0,0,0,46,quantity_and_quality_deficit
GESP-1,single_choice,medium,CS,80,77,3,43,2,41,40,34,46,quantity_and_quality_deficit
GESP-5,completion_program,medium,ALG,46,1,45,0,0,0,0,1,45,quantity_and_quality_deficit
GESP-7,completion_program,hard,DS,49,74,0,70,0,70,0,4,45,quality_deficit
GESP-7,reading_program,medium,DS,46,70,0,68,0,68,0,2,44,quality_deficit
GESP-6,completion_program,medium,DS,46,5,41,2,0,2,0,3,43,quantity_and_quality_deficit
GESP-7,completion_program,medium,DS,42,65,0,65,0,65,0,0,42,quality_deficit
GESP-8,reading_program,medium,DS,46,56,0,51,0,51,0,5,41,quality_deficit
GESP-4,completion_program,easy,ALG,44,4,40,0,0,0,0,4,40,quantity_and_quality_deficit
GESP-4,single_choice,hard,MATH,40,0,40,0,0,0,0,0,40,quantity_and_quality_deficit
GESP-3,single_choice,hard,MATH,40,5,35,5,5,0,5,0,40,quantity_and_quality_deficit
GESP-6,completion_program,hard,DS,39,0,39,0,0,0,0,0,39,quantity_and_quality_deficit
CSP-S,single_choice,easy,DS,80,62,18,21,0,21,0,41,39,quantity_and_quality_deficit
CSP-J,single_choice,medium,DS,80,80,0,39,1,38,12,41,39,quality_deficit
GESP-2,single_choice,hard,BAS,40,40,0,39,0,39,39,1,39,quality_deficit
GESP-7,reading_program,hard,DS,43,71,0,67,0,67,0,4,39,quality_deficit
GESP-3,completion_program,easy,ALG,44,6,38,0,0,0,0,6,38,quantity_and_quality_deficit
CSP-S,completion_program,hard,DS,50,50,0,38,0,38,1,12,38,quality_deficit
CSP-J,single_choice,hard,DS,40,40,0,37,0,37,35,3,37,quality_deficit
CSP-S,completion_program,medium,DS,40,32,8,28,0,28,0,4,36,quantity_and_quality_deficit
CSP-J,completion_program,medium,DS,40,49,0,45,0,45,0,4,36,quality_deficit
CSP-S,reading_program,medium,DS,50,73,0,59,0,59,0,14,36,quality_deficit
GESP-7,completion_program,hard,ALG,49,49,0,36,17,19,19,13,36,quality_deficit
GESP-6,completion_program,hard,ALG,39,5,34,1,0,1,1,4,35,quantity_and_quality_deficit
GESP-8,reading_program,hard,DS,43,44,0,36,0,36,0,8,35,quality_deficit
GESP-8,single_choice,medium,ALG,180,187,0,42,0,42,29,145,35,quality_deficit
GESP-5,completion_program,hard,ALG,39,5,34,0,0,0,0,5,34,quantity_and_quality_deficit
GESP-5,completion_program,hard,MATH,39,5,34,0,0,0,0,5,34,quantity_and_quality_deficit
CSP-S,single_choice,medium,CS,50,41,9,25,1,24,24,16,34,quantity_and_quality_deficit
CSP-J,single_choice,easy,DS,80,80,0,34,0,34,0,46,34,quality_deficit
CSP-S,reading_program,hard,DS,40,40,0,34,0,34,0,6,34,quality_deficit
CSP-J,completion_program,hard,DS,40,33,7,26,0,26,0,7,33,quantity_and_quality_deficit
GESP-6,reading_program,hard,DS,32,0,32,0,0,0,0,0,32,quantity_and_quality_deficit
GESP-5,reading_program,hard,DS,32,5,27,5,0,5,1,0,32,quantity_and_quality_deficit
CSP-S,single_choice,medium,BAS,50,41,9,23,2,21,22,18,32,quantity_and_quality_deficit
GESP-6,reading_program,easy,ALG,36,5,31,0,0,0,0,5,31,quantity_and_quality_deficit
CSP-J,single_choice,medium,CS,40,31,9,22,2,20,21,9,31,quantity_and_quality_deficit
GESP-7,reading_program,medium,ALG,93,115,0,53,0,53,0,62,31,quality_deficit
GESP-2,single_choice,hard,CS,30,21,9,21,1,20,21,0,30,quantity_and_quality_deficit
CSP-J,single_choice,medium,MATH,40,38,2,28,4,24,27,10,30,quantity_and_quality_deficit
CSP-J,single_choice,medium,ALG,120,120,0,30,0,30,29,90,30,quality_deficit
CSP-S,single_choice,hard,BAS,30,30,0,30,0,30,30,0,30,quality_deficit
GESP-7,reading_program,hard,ALG,85,102,0,47,21,26,24,55,30,quality_deficit
GESP-8,single_choice,easy,DS,80,95,0,44,0,44,0,51,29,quality_deficit
GESP-3,reading_program,hard,CPP,28,0,28,0,0,0,0,0,28,quantity_and_quality_deficit
GESP-4,reading_program,hard,CPP,28,0,28,0,0,0,0,0,28,quantity_and_quality_deficit
CSP-S,single_choice,hard,CS,30,30,0,28,0,28,28,2,28,quality_deficit
GESP-8,single_choice,medium,CPP,135,155,0,48,5,43,46,107,28,quality_deficit
GESP-5,reading_program,easy,ALG,36,10,26,0,0,0,0,10,26,quantity_and_quality_deficit
GESP-7,completion_program,medium,ALG,42,54,0,38,0,38,0,16,26,quality_deficit
GESP-7,single_choice,easy,DS,100,146,0,70,0,70,0,76,24,quality_deficit
CSP-J,reading_program,hard,DS,30,45,0,38,0,38,1,7,23,quality_deficit
GESP-2,completion_program,easy,CPP,62,40,22,0,0,0,0,40,22,quantity_and_quality_deficit
GESP-2,completion_program,medium,CPP,100,78,22,0,0,0,0,78,22,quantity_and_quality_deficit
CSP-S,single_choice,medium,ALG,200,212,0,34,0,34,29,178,22,quality_deficit
GESP-2,single_choice,easy,BAS,200,194,6,15,0,15,0,179,21,quantity_and_quality_deficit
GESP-1,completion_program,medium,CPP,100,80,20,0,0,0,0,80,20,quantity_and_quality_deficit
GESP-3,reading_program,easy,CPP,25,5,20,0,0,0,0,5,20,quantity_and_quality_deficit
GESP-4,reading_program,easy,CPP,25,5,20,0,0,0,0,5,20,quantity_and_quality_deficit
CSP-J,single_choice,hard,CS,20,11,9,11,0,11,11,0,20,quantity_and_quality_deficit
CSP-J,single_choice,hard,MATH,20,20,0,20,1,19,19,0,20,quality_deficit
GESP-1,single_choice,hard,CS,20,21,0,21,0,21,21,0,20,quality_deficit
CSP-J,completion_program,easy,DS,20,16,4,15,0,15,0,1,19,quantity_and_quality_deficit
CSP-J,reading_program,easy,DS,20,18,2,17,0,17,0,1,19,quantity_and_quality_deficit
GESP-6,reading_program,easy,DS,18,0,18,0,0,0,0,0,18,quantity_and_quality_deficit
GESP-1,single_choice,easy,CS,100,88,12,6,0,6,0,82,18,quantity_and_quality_deficit
GESP-5,completion_program,easy,ALG,15,0,15,0,0,0,0,0,15,quantity_and_quality_deficit
GESP-5,completion_program,easy,MATH,15,0,15,0,0,0,0,0,15,quantity_and_quality_deficit
GESP-6,completion_program,easy,ALG,15,0,15,0,0,0,0,0,15,quantity_and_quality_deficit
GESP-6,completion_program,easy,DS,15,1,14,1,0,1,0,0,15,quantity_and_quality_deficit
GESP-5,reading_program,easy,DS,18,5,13,2,0,2,0,3,15,quantity_and_quality_deficit
CSP-S,single_choice,easy,CS,20,8,12,3,0,3,0,5,15,quantity_and_quality_deficit
CSP-J,single_choice,easy,BAS,160,164,0,19,0,19,0,145,15,quality_deficit
CSP-J,single_choice,easy,CS,40,31,9,5,0,5,0,26,14,quantity_and_quality_deficit
CSP-S,single_choice,easy,ALG,80,71,9,5,0,5,0,66,14,quantity_and_quality_deficit
GESP-2,completion_program,hard,CPP,38,34,4,10,0,10,10,24,14,quantity_and_quality_deficit
GESP-2,single_choice,easy,CS,150,147,3,10,0,10,0,137,13,quantity_and_quality_deficit
CSP-J,single_choice,easy,ALG,120,125,0,17,0,17,0,108,12,quality_deficit
CSP-J,single_choice,easy,CPP,160,160,0,12,0,12,0,148,12,quality_deficit
GESP-7,single_choice,easy,ALG,100,139,0,51,0,51,0,88,12,quality_deficit
GESP-1,completion_program,hard,CPP,38,35,3,8,0,8,8,27,11,quantity_and_quality_deficit
GESP-8,reading_program,easy,DS,11,21,0,21,0,21,0,0,11,quality_deficit
CSP-S,reading_program,easy,DS,10,10,0,10,0,10,0,0,10,quality_deficit
GESP-7,reading_program,easy,DS,11,17,0,16,0,16,0,1,10,quality_deficit
GESP-8,completion_program,hard,MATH,49,57,0,18,0,18,18,39,10,quality_deficit
CSP-S,single_choice,easy,MATH,40,32,8,1,0,1,0,31,9,quantity_and_quality_deficit
CSP-S,completion_program,easy,DS,10,10,0,9,0,9,0,1,9,quality_deficit
GESP-7,completion_program,easy,ALG,9,9,0,9,0,9,0,0,9,quality_deficit
GESP-7,completion_program,easy,DS,9,14,0,14,0,14,0,0,9,quality_deficit
CSP-J,completion_program,hard,ALG,40,34,6,2,0,2,2,32,8,quantity_and_quality_deficit
GESP-8,single_choice,easy,MATH,80,79,1,7,0,7,0,72,8,quantity_and_quality_deficit
GESP-7,reading_program,easy,ALG,22,31,0,15,0,15,0,16,6,quality_deficit
CSP-J,reading_program,medium,CPP,50,50,0,5,0,5,0,45,5,quality_deficit
CSP-S,single_choice,easy,BAS,20,20,0,5,0,5,0,15,5,quality_deficit
CSP-S,single_choice,easy,CPP,60,60,0,5,0,5,0,55,5,quality_deficit
GESP-1,reading_program,easy,CPP,103,103,0,5,0,5,0,98,5,quality_deficit
GESP-2,reading_program,easy,CPP,103,103,0,5,0,5,0,98,5,quality_deficit
CSP-J,completion_program,easy,ALG,20,16,4,0,0,0,0,16,4,quantity_and_quality_deficit
CSP-J,completion_program,medium,ALG,40,36,4,0,0,0,0,36,4,quantity_and_quality_deficit
GESP-8,reading_program,medium,ALG,93,89,4,0,0,0,0,89,4,quantity_and_quality_deficit
CSP-S,completion_program,hard,ALG,50,49,1,3,0,3,3,46,4,quantity_and_quality_deficit
CSP-J,single_choice,easy,MATH,40,40,0,4,0,4,0,36,4,quality_deficit
CSP-S,completion_program,medium,ALG,40,37,3,0,0,0,0,37,3,quantity_and_quality_deficit
CSP-S,reading_program,medium,ALG,100,101,0,4,0,4,0,97,3,quality_deficit
GESP-7,single_choice,easy,MATH,40,59,0,21,0,21,0,38,2,quality_deficit
CSP-J,reading_program,easy,ALG,20,20,0,0,0,0,0,20,0,meets_current_count_gate
CSP-J,reading_program,hard,ALG,30,35,0,5,0,5,2,30,0,rewrite_needed
CSP-J,reading_program,medium,ALG,50,74,0,0,0,0,0,74,0,meets_current_count_gate
CSP-J,reading_program,easy,CPP,20,20,0,0,0,0,0,20,0,meets_current_count_gate
CSP-J,reading_program,hard,CPP,30,41,0,6,0,6,6,35,0,rewrite_needed
CSP-S,completion_program,easy,ALG,10,10,0,0,0,0,0,10,0,meets_current_count_gate
CSP-S,reading_program,easy,ALG,20,20,0,0,0,0,0,20,0,meets_current_count_gate
CSP-S,reading_program,hard,ALG,80,97,0,5,0,5,5,92,0,rewrite_needed
GESP-1,reading_program,hard,CPP,45,55,0,8,0,8,8,47,0,rewrite_needed
GESP-1,reading_program,medium,CPP,152,157,0,5,0,5,0,152,0,rewrite_needed
GESP-2,reading_program,hard,CPP,45,50,0,4,0,4,4,46,0,rewrite_needed
GESP-2,reading_program,medium,CPP,152,172,0,10,0,10,0,162,0,rewrite_needed
GESP-7,single_choice,easy,CPP,60,90,0,29,0,29,0,61,0,rewrite_needed
GESP-8,completion_program,easy,ALG,9,9,0,0,0,0,0,9,0,meets_current_count_gate
GESP-8,completion_program,hard,ALG,49,65,0,7,0,7,7,58,0,rewrite_needed
GESP-8,completion_program,medium,ALG,42,42,0,0,0,0,0,42,0,meets_current_count_gate
GESP-8,completion_program,easy,MATH,9,9,0,0,0,0,0,9,0,meets_current_count_gate
GESP-8,completion_program,medium,MATH,42,57,0,0,0,0,0,57,0,meets_current_count_gate
GESP-8,reading_program,easy,ALG,22,35,0,0,0,0,0,35,0,meets_current_count_gate
GESP-8,reading_program,hard,ALG,85,101,0,8,0,8,8,93,0,rewrite_needed
GESP-8,single_choice,easy,ALG,80,110,0,2,0,2,0,108,0,rewrite_needed
GESP-8,single_choice,easy,CPP,60,75,0,4,0,4,0,71,0,rewrite_needed
